vendor_id,pickup_dayofweek,pickup_hour,dropoff_dayofweek,dropoff_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,speed
Quito,2,8,2,8,-78.46703118,-0.1233242786,-78.48402167,-0.195373829,1353,9995,435,39.19607843
Quito,2,8,2,8,-78.48028755,-0.1781213084,-78.46288811,-0.07769284046,1896,14240,559,38.34255797
Quito,2,9,2,9,-78.5045138,-0.23251494,-78.51100944,-0.27497138,837,9031,59,41.78868895
Quito,2,11,3,12,-78.54389204,-0.25805102,-78.55672882,-0.2561604459,3784,1561,3564,25.54363636
Quito,3,5,3,6,-78.47653761,-0.1292406339,-78.46466082,-0.14404328,716,3152,231,23.39628866
Quito,3,7,3,7,-78.4955001,-0.1973118707,-78.49040447,-0.1906249973,142,1038,10,28.30909091
Quito,3,8,3,8,-78.49873068,-0.1899950982,-78.50018991,-0.2128116376,476,3267,83,29.92671756
Quito,3,8,3,8,-78.49835105,-0.128389406,-78.48829243,-0.1579001018,611,3885,147,30.14224138
Quito,3,8,3,8,-78.46647859,-0.1387214496,-78.46006061,-0.1518051254,490,4721,22,36.31538462
Quito,3,8,3,8,-78.49697662,-0.2040249795,-78.48318457,-0.2036002579,921,3137,433,23.14180328
Quito,3,8,3,8,-78.46400265,-0.1531876551,-78.4668148,-0.1600678194,281,913,154,25.88031496
Quito,3,8,3,9,-78.4819682,-0.2016578888,-78.4594471,-0.1626515414,1061,6080,369,31.6300578
Quito,3,8,3,9,-78.50480989,-0.1768991718,-78.48537612,-0.1704971292,1038,5193,314,25.82154696
Quito,3,10,3,10,-78.47879233,-0.1832692761,-78.47556568,-0.18191534,83,469,25,29.11034483
Quito,3,10,3,10,-78.5038125,-0.211415063,-78.48352682,-0.1618989652,1772,8180,831,31.29436769
Quito,3,10,3,11,-78.50514474,-0.1771800698,-78.47035712,-0.1709641134,1399,6924,524,28.48731429
Quito,3,11,3,11,-78.4975062,-0.19188414,-78.4931646,-0.1946550202,249,911,94,21.15870968
Quito,2,3,2,3,-78.50570285,-0.1809268894,-78.48322882,-0.13108408,1243,9652,397,41.07234043
Quito,3,11,3,11,-78.49936404,-0.2008181625,-78.49736271,-0.2077397603,245,966,120,27.8208
Quito,3,11,3,11,-78.50495336,-0.1770626106,-78.48902083,-0.1216413934,1649,6549,1270,62.20686016
Quito,3,11,3,11,-78.47527861,-0.08284133317,-78.49389944,-0.12163808,897,5290,331,33.64664311
Quito,3,11,3,11,-78.50313251,-0.2140602276,-78.50251709,-0.2051107415,530,1193,314,19.88333333
Quito,3,11,3,11,-78.50374619,-0.20319631,-78.51007572,-0.2143666444,346,1702,93,24.21818182
Quito,3,11,3,11,-78.50996914,-0.1432389825,-78.50598241,-0.1431128608,63,452,22,39.68780488
Quito,3,11,3,12,-78.54223436,-0.2858261366,-78.5422905,-0.28571482,535,2842,181,28.90169492
Quito,3,11,3,12,-78.50927433,-0.215194395,-78.50709933,-0.2289128819,492,1975,160,21.41566265
Quito,3,12,3,12,-78.50593406,-0.181207642,-78.49091073,-0.1882284534,675,2372,325,24.39771429
Quito,3,11,3,11,-78.47527861,-0.08284133317,-78.49389944,-0.12163808,897,5290,331,33.64664311
Quito,3,12,3,12,-78.49387036,-0.134098346,-78.49376723,-0.1246455496,442,1063,320,31.36721311
Quito,3,12,3,1,-78.53961726,-0.2597697438,-78.54474304,-0.28467374,997,4648,444,30.25822785
Quito,3,12,3,1,-78.49945482,-0.1457515345,-78.5097023,-0.14316308,4074,22496,1330,29.51370262
Quito,3,12,3,1,-78.48672268,-0.1627744055,-78.48936736,-0.1710790722,3568,981,2561,3.507050645
Quito,3,8,3,9,-78.49105308,-0.2547127376,-78.53733046,-0.2722656475,1692,10083,422,28.58173228
